"","1","2","3","4","5","6"
"11. Zlatan Ibrahimovic (Inter to Barcelona, 2010)",0.243768742641258,0.0124625147174117,0.0124625149524354,0.0124625147173942,0.0124625147173942,0.706381198254106
"10. Andriy Shevchenko (AC Milan to Chelsea, 2006)",0.0124625147173942,0.0124625150092763,0.937687425508086,0.0124625147173942,0.0124625149788729,0.012462515068976
"9. Danny Drinkwater (Leicester to Chelsea, 2017)",0.0124625147173942,0.0124625147174118,0.937687426147821,0.0124625149825847,0.0124625147173942,0.0124625147173942
"8. Alexis Sanchez (Arsenal to Manchester United, 2018)",0.0101213771479148,0.0101213771479148,0.0101213771479148,0.766014594160586,0.193499897247754,0.0101213771479148
"7. Kepa Arrizabalaga (Athletic Club to Chelsea, 2018)",0.0101213771479148,0.0101213771479259,0.949393114260415,0.0101213771479148,0.0101213771479148,0.0101213771479148
"6. Paul Pogba (Juventus to Man Utd, 2016)",0.0101213771479148,0.0101213771479148,0.0101213771479148,0.0101213771479148,0.0101213772293373,0.949393114179004
"5. Ousmane Dembele (Borussia Dortmund to Barcelona, 2017)",0.949393114260424,0.0101213771479167,0.0101213771479148,0.0101213771479148,0.0101213771479148,0.0101213771479148
"4. Romelu Lukaku (Inter to Chelsea, 2021)",0.0124625147173942,0.0124625147174118,0.937687425709747,0.0124625147173942,0.0124625147173942,0.0124625154206589
"3. Philippe Coutinho (Liverpool to Barcelona, 2018)",0.937687425763529,0.012462515162375,0.0124625149219136,0.0124625147173942,0.0124625147173942,0.0124625147173942
"2. Eden Hazard (Chelsea to Real Madrid, 2019)",0.0101213771479148,0.0101213772652921,0.197975724567805,0.010121377147915,0.761538766723159,0.0101213771479148
"1. Antoine Griezmann (Atletico Madrid to Barcelona, 2021)",0.197966179441678,0.761548311297215,0.0101213771479148,0.010121377147915,0.0101213778173626,0.0101213771479148
"1. Neymar – 222 million euros",0.429612789529166,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.505536862152099
"2. Philippe Coutinho – 160 million euros",0.937687425952423,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625151780001
"3. Kylian Mbappe – €180 million",0.0162125875465294,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.918937064134736
"4. Ousmane Dembele – 145 million euros",0.937687425952423,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625151780001
"5. Eden Hazard – €160 million",0.0162125890417624,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.618028905427615,0.317120744291571
"6. Antoine Griezmann – 120 million euros",0.475074969582075,0.475074970508366,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625157573769
"7. Joao Felix – 126 million euros",0.289761449757519,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.660388491372904
"8. Paul Pogba – €105 million",0.0162125875465289,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.918937064134736
